Alias|Tower|Coordinates,Action1,Action2,Action3,Action4,Action5,Action6,Action7
"Quincy|Quincy|217,567",,,,,,,
"Dart1|DartMonkey|287,567",,,,,,,
"Druid1|Druid|334,566",,,,,,,
"Spike1|SpikeFactory|296,524",,,,,,,
"Village1|MonkeyVillage|365,515",,,,,,,
"Alchi1|Alchemist|299,481",Quincy|000,,,,,,
"Ace1|MonkeyAce|370,452",Dart1|000,,,,,,
,Dart1|x1x,,,,,,
,Dart1|x2x,,,,,,
,Dart1|xx1,,,,,,
,Dart1|xx2,,,,,,
,,,,,,,
,,,,,,,
,Dart1|xx3,,,,,,
,Druid1|000,,,,,,
,,,,,,,
,Druid1|1xx,,,,,,
,Druid1|x1x,,,,,,
,Druid1|x2x,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Druid1|x3x,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Druid1|x4x,,,,,,
,,,,,,,
,Dart1|xx4,,,,,,
,Spike1|000,Spike1|1xx,,,,,
,Spike1|2xx,Spike1|x1x,,,,,
,Spike1|x2x,,,,,,
,,,,,,,
,Spike1|x3x,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Spike1|x4x,Alchi1|000,Alchi1|x1x,,,,
,Village1|000,Village1|x1x,,,,,
,Village1|x2x,Village1|1xx,Alchi1|1xx,,,,
,Village1|2xx,Alchi1|x2x,Alchi1|2xx,Alchi1|3xx,,,
,Alchi1|4xx,,,,,,
,Ace1|000,Ace1|1xx,,,,,
,Ace1|2xx,Ace1|xx1,Ace1|xx2,,,,
,,,,,,,
,Ace1|xx3,,,,,,
,Dart1|xx4,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Ace1|xx4,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Spike1|x5x,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Dart1|xx5,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
